iter	Passed	Remaining
0	4	4863
1	8	4347
2	12	4056
3	15	3899
4	19	3819
5	23	3831
6	26	3759
7	30	3734
8	33	3696
9	37	3689
10	40	3668
11	44	3639
12	47	3623
13	51	3606
14	54	3607
15	58	3594
16	61	3581
17	65	3569
18	69	3566
19	73	3577
20	76	3568
21	79	3554
22	83	3546
23	87	3546
24	91	3556
25	94	3548
26	98	3538
27	101	3532
28	105	3535
29	109	3526
30	112	3519
31	116	3516
32	119	3515
33	123	3508
34	126	3496
35	130	3488
36	133	3481
37	137	3482
38	141	3475
39	144	3469
40	148	3467
41	151	3465
42	155	3461
43	158	3454
44	162	3446
45	166	3442
46	169	3446
47	173	3446
48	177	3441
49	180	3433
50	184	3432
51	188	3435
52	191	3430
53	195	3423
54	198	3414
55	202	3412
56	205	3405
57	209	3399
58	212	3391
59	215	3383
60	219	3384
61	223	3377
62	226	3372
63	230	3365
64	233	3364
65	237	3361
66	241	3356
67	244	3350
68	247	3345
69	251	3340
70	255	3336
71	258	3332
72	261	3326
73	265	3320
74	268	3317
75	272	3312
76	275	3306
77	279	3300
78	282	3297
79	286	3293
80	289	3289
81	293	3283
82	296	3278
83	300	3276
84	304	3274
85	307	3270
86	311	3267
87	314	3263
88	318	3261
89	322	3256
90	325	3252
91	329	3247
92	332	3245
93	336	3240
94	339	3236
95	343	3232
96	346	3228
97	350	3225
98	353	3221
99	357	3216
100	360	3211
101	364	3207
102	368	3205
103	371	3201
104	375	3198
105	378	3194
106	382	3193
107	386	3190
108	389	3185
109	393	3181
110	396	3177
111	400	3176
112	404	3174
113	407	3170
114	411	3164
115	414	3160
116	418	3156
117	421	3151
118	425	3147
119	428	3142
120	432	3139
121	435	3135
122	439	3130
123	442	3126
124	445	3121
125	449	3118
126	452	3113
127	456	3108
128	459	3103
129	463	3101
130	467	3098
131	470	3094
132	473	3089
133	477	3086
134	481	3085
135	484	3080
136	488	3076
137	491	3072
138	495	3068
139	499	3066
140	502	3063
141	506	3059
142	509	3056
143	513	3053
144	517	3051
145	521	3047
146	524	3043
147	527	3038
148	531	3034
149	535	3032
150	538	3027
151	541	3023
152	545	3022
153	549	3020
154	553	3017
155	556	3013
156	560	3008
157	564	3007
158	567	3003
159	571	2998
160	574	2995
161	578	2991
162	581	2987
163	585	2983
164	588	2979
165	592	2974
166	595	2971
167	599	2967
168	602	2963
169	606	2959
170	609	2955
171	613	2953
172	617	2949
173	620	2945
174	623	2941
175	627	2938
176	631	2935
177	634	2931
178	638	2927
179	641	2923
180	645	2920
181	648	2916
182	652	2911
183	655	2907
184	659	2903
185	663	2902
186	666	2898
187	669	2893
188	673	2889
189	677	2886
190	681	2884
191	684	2882
192	688	2878
193	691	2874
194	695	2871
195	699	2868
196	702	2863
197	706	2859
198	709	2856
199	713	2853
200	716	2849
201	720	2845
202	723	2842
203	727	2839
204	731	2835
205	734	2831
206	738	2827
207	741	2824
208	745	2821
209	748	2817
210	752	2813
211	756	2810
212	759	2806
213	763	2803
214	766	2799
215	770	2795
216	773	2792
217	777	2788
218	781	2785
219	784	2781
220	788	2778
221	791	2774
222	795	2770
223	798	2766
224	802	2762
225	805	2758
226	809	2756
227	813	2752
228	816	2749
229	820	2745
230	823	2742
231	827	2739
232	830	2734
233	834	2731
234	837	2727
235	841	2724
236	845	2721
237	848	2717
238	852	2713
239	855	2709
240	859	2706
241	863	2703
242	866	2699
243	870	2696
244	873	2692
245	877	2689
246	881	2686
247	884	2683
248	888	2678
249	891	2675
250	895	2670
251	898	2666
252	902	2663
253	905	2659
254	909	2657
255	913	2653
256	916	2649
257	919	2645
258	923	2642
259	927	2638
260	930	2635
261	934	2631
262	937	2627
263	941	2625
264	945	2621
265	948	2617
266	952	2614
267	955	2610
268	959	2607
269	963	2604
270	966	2600
271	970	2596
272	973	2593
273	977	2589
274	980	2585
275	984	2582
276	988	2579
277	992	2576
278	995	2573
279	999	2569
280	1002	2565
281	1006	2562
282	1009	2558
283	1013	2554
284	1016	2551
285	1020	2546
286	1023	2543
287	1027	2539
288	1030	2535
289	1034	2531
290	1037	2527
291	1041	2524
292	1044	2521
293	1048	2517
294	1051	2513
295	1055	2510
296	1059	2507
297	1062	2504
298	1066	2500
299	1070	2496
300	1073	2493
301	1077	2490
302	1081	2486
303	1084	2483
304	1088	2479
305	1091	2476
306	1095	2472
307	1098	2468
308	1102	2464
309	1106	2461
310	1109	2457
311	1112	2454
312	1116	2450
313	1119	2446
314	1123	2443
315	1127	2439
316	1130	2435
317	1134	2432
318	1137	2428
319	1141	2425
320	1144	2421
321	1148	2417
322	1151	2414
323	1155	2411
324	1159	2407
325	1162	2403
326	1165	2399
327	1169	2395
328	1172	2392
329	1176	2388
330	1180	2385
331	1183	2381
332	1187	2378
333	1191	2375
334	1195	2372
335	1198	2368
336	1202	2365
337	1205	2362
338	1209	2358
339	1213	2354
340	1216	2351
341	1220	2348
342	1224	2344
343	1227	2341
344	1231	2337
345	1234	2333
346	1238	2330
347	1242	2327
348	1245	2323
349	1249	2320
350	1253	2317
351	1256	2313
352	1260	2309
353	1263	2306
354	1267	2302
355	1271	2299
356	1274	2295
357	1278	2292
358	1281	2288
359	1285	2284
360	1288	2281
361	1292	2277
362	1295	2273
363	1299	2269
364	1302	2266
365	1306	2263
366	1310	2259
367	1313	2256
368	1317	2252
369	1320	2249
370	1324	2245
371	1328	2241
372	1331	2238
373	1335	2235
374	1338	2231
375	1342	2227
376	1345	2223
377	1349	2220
378	1353	2216
379	1356	2213
380	1360	2209
381	1363	2206
382	1367	2202
383	1370	2199
384	1374	2195
385	1378	2192
386	1381	2188
387	1385	2185
388	1388	2181
389	1392	2177
390	1395	2173
391	1399	2170
392	1403	2167
393	1406	2163
394	1409	2159
395	1413	2155
396	1417	2152
397	1420	2149
398	1424	2145
399	1427	2141
400	1431	2137
